airline_id,airline_name,country,icao_code,iata_code,alias
3,1Time Airline,South Africa,1T,RNX,
10,40-Mile Air,United States,Q5,MLA,
13,Ansett Australia,Australia,AN,AAA,
14,Abacus International,Singapore,1B,,
21,Aigle Azur,France,ZI,AAF,
22,Aloha Airlines,United States,AQ,AAH,
24,American Airlines,United States,AA,AAL,
28,Asiana Airlines,Republic of Korea,OZ,AAR,
29,Askari Aviation,Pakistan,4K,AAS,
32,Afriqiyah Airways,Libya,8U,AAW,
35,Allegiant Air,United States,G4,AAY,
42,ABSA - Aerolinhas Brasileiras,Brazil,M3,TUS,
55,Astral Aviation,Kenya,8V,ACP,
68,Air Tindi,Canadian Territories,8T,,
72,Ada Air,Albania,ZY,ADE,
83,Adria Airways,Slovenia,JP,ADR,
90,Air Europa,Spain,UX,AEA,
93,Aero Benin,Benin,EM,AEB,
96,Aegean Airlines,Greece,A3,AEE,
106,Air Europe,Italy,PE,AEL,
109,Alaska Central Express,United States,KO,AER,
110,ACES Colombia,Colombia,,AES,
112,Astraeus,United Kingdom,5W,AEU,
114,Aerosvit Airlines,Ukraine,VV,AEW,
116,Air Italy,Italy,I9,AEY,
120,Alliance Airlines,Australia,QQ,UTY,
125,Ariana Afghan Airlines,Afghanistan,FG,AFG,
130,Aeroflot Russian Airlines,Russia,SU,AFL,
132,Air Bosna,Bosnia and Herzegovina,JA,BON,
137,Air France,France,AF,AFR,
139,Air Caledonie International,France,SB,ACI,
146,Air Salone,Sierra Leone,2O,,
149,Air Cargo Carriers,United States,2Q,SNC,
153,Air Namibia,Namibia,SW,NMB,
165,Aerolitoral,Mexico,5D,SLI,
174,Air Glaciers,Switzerland,7T,AGV,
176,Aviogenex,Serbia,,AGX,
179,Aeroper,Peru,PL,PLI,
180,Atlas Blue,Morocco,8A,BMM,
197,Azerbaijan Airlines,Azerbaijan,J2,AHY,
198,Avies,Estonia,U3,AIA,
208,Airblue,Pakistan,ED,ABQ,
210,Airlift International,United States,,AIR,
214,Air Berlin,Germany,AB,BER,
218,Air India Limited,India,AI,AIC,
220,Air Bourbon,Reunion,ZB,BUB,
221,Air Atlanta Icelandic,Iceland,CC,ABD,
225,Air Tahiti Nui,France,TN,THT,
231,Arkia Israel Airlines,Israel,IZ,AIZ,
239,Air Jamaica,Jamaica,JM,AJM,
240,Air One,Italy,AP,ADH,
241,Air Sahara,India,S2,RSH,
242,Air Malta,Malta,KM,AMC,
