airport_id,iata_code,airport_name,icao_code,city,country,latitude,longitude
1,GKA,Goroka Airport,AYGA,Goroka,Papua New Guinea,-6.0816898346,145.391998291
2,MAG,Madang Airport,AYMD,Madang,Papua New Guinea,-5.2070798874,145.789001465
3,HGU,Mount Hagen Kagamuga Airport,AYMH,Mount Hagen,Papua New Guinea,-5.826789856,144.296005249
4,LAE,Nadzab Airport,AYNZ,Nadzab,Papua New Guinea,-6.569803,146.725977
5,POM,Port Moresby Jacksons International Airport,AYPY,Port Moresby,Papua New Guinea,-9.4433803558,147.2200012207
6,WWK,Wewak International Airport,AYWK,Wewak,Papua New Guinea,-3.5838301182,143.669006348
7,UAK,Narsarsuaq Airport,BGBW,Narssarssuaq,Greenland,61.1604995728,-45.4259986877
8,GOH,Godthaab / Nuuk Airport,BGGH,Godthaab,Greenland,64.19090271,-51.6781005859
9,SFJ,Kangerlussuaq Airport,BGSF,Sondrestrom,Greenland,67.0122218992,-50.7116031647
10,THU,Thule Air Base,BGTL,Thule,Greenland,76.5311965942,-68.7032012939
11,AEY,Akureyri Airport,BIAR,Akureyri,Iceland,65.6600036621,-18.0727005005
12,EGS,Egilsstaðir Airport,BIEG,Egilsstadir,Iceland,65.2833023071,-14.4013996124
13,HFN,Hornafjörður Airport,BIHN,Hofn,Iceland,64.295601,-15.2272
14,HZK,Húsavík Airport,BIHU,Husavik,Iceland,65.952301,-17.426001
15,IFJ,Ísafjörður Airport,BIIS,Isafjordur,Iceland,66.0580978394,-23.1352996826
16,KEF,Keflavik International Airport,BIKF,Keflavik,Iceland,63.9850006104,-22.6056003571
17,PFJ,Patreksfjörður Airport,BIPA,Patreksfjordur,Iceland,65.555801,-23.965
18,RKV,Reykjavik Airport,BIRK,Reykjavik,Iceland,64.1299972534,-21.9405994415
19,SIJ,Siglufjörður Airport,BISI,Siglufjordur,Iceland,66.133301,-18.9167
20,VEY,Vestmannaeyjar Airport,BIVM,Vestmannaeyjar,Iceland,63.4243011475,-20.2789001465
21,YAM,Sault Ste Marie Airport,CYAM,Sault Sainte Marie,Canada,46.4850006104,-84.5093994141
22,,Winnipeg / St. Andrews Airport,CYAV,Winnipeg,Canada,50.0564002991,-97.0325012207
23,,Halifax / CFB Shearwater Heliport,CYAW,Halifax,Canada,44.639702,-63.499401
24,YAY,St. Anthony Airport,CYAY,St. Anthony,Canada,51.3918991089,-56.0830993652
25,YAZ,Tofino / Long Beach Airport,CYAZ,Tofino,Canada,49.079833,-125.775583
26,YBB,Kugaaruk Airport,CYBB,Pelly Bay,Canada,68.534401,-89.808098
27,YBC,Baie Comeau Airport,CYBC,Baie Comeau,Canada,49.1324996948,-68.2043991089
28,YBG,CFB Bagotville,CYBG,Bagotville,Canada,48.3306007385,-70.9963989258
29,YBK,Baker Lake Airport,CYBK,Baker Lake,Canada,64.2988967896,-96.077796936
30,YBL,Campbell River Airport,CYBL,Campbell River,Canada,49.9508018494,-125.2710037231
31,YBR,Brandon Municipal Airport,CYBR,Brandon,Canada,49.91,-99.951897
32,YCB,Cambridge Bay Airport,CYCB,Cambridge Bay,Canada,69.1081008911,-105.138000488
33,YCD,Nanaimo Airport,CYCD,Nanaimo,Canada,49.0549702249,-123.869862556
34,YCG,Castlegar/West Kootenay Regional Airport,CYCG,Castlegar,Canada,49.2963981628,-117.632003784
35,YCH,Miramichi Airport,CYCH,Chatham,Canada,47.007801,-65.449203
36,YCL,Charlo Airport,CYCL,Charlo,Canada,47.990799,-66.330299
37,YCO,Kugluktuk Airport,CYCO,Coppermine,Canada,67.816704,-115.143997
38,YCT,Coronation Airport,CYCT,Coronation,Canada,52.0750007629,-111.444999695
39,YCW,Chilliwack Airport,CYCW,Chilliwack,Canada,49.1528015137,-121.939002991
40,YCY,Clyde River Airport,CYCY,Clyde River,Canada,70.4860992432,-68.5167007446
41,YZS,Coral Harbour Airport,CYZS,Coral Harbour,Canada,64.1932983398,-83.3593978882
42,YDA,Dawson City Airport,CYDA,Dawson,Canada,64.0430984497,-139.1280059814
43,YDB,Burwash Airport,CYDB,Burwash,Canada,61.3711013794,-139.0410003662
44,,Princeton Airport,CYDC,Princeton,Canada,49.4681015015,-120.511001587
45,YDF,Deer Lake Airport,CYDF,Deer Lake,Canada,49.2108001709,-57.3913993835
46,YDL,Dease Lake Airport,CYDL,Dease Lake,Canada,58.4221992493,-130.031997681
47,YDN,Dauphin Barker Airport,CYDN,Dauphin,Canada,51.1007995605,-100.0520019531
48,YDQ,Dawson Creek Airport,CYDQ,Dawson Creek,Canada,55.7422981262,-120.1829986572
49,YEG,Edmonton International Airport,CYEG,Edmonton,Canada,53.3097000122,-113.580001831
50,YEK,Arviat Airport,CYEK,Eskimo Point,Canada,61.0942001343,-94.0708007812
51,YEN,Estevan Airport,CYEN,Estevan,Canada,49.2103004456,-102.966003418
52,YET,Edson Airport,CYET,Edson,Canada,53.5788993835,-116.464996338
53,YEU,Eureka Airport,CYEU,Eureka,Canada,79.9946975708,-85.814201355
54,YEV,Inuvik Mike Zubko Airport,CYEV,Inuvik,Canada,68.3041992188,-133.483001709
