flight_booking_id,flight_id,trip_id,seat,price,travel_class
1831,8051,0,27D,728,business
4225,4011,0,42A,728,business
1840,8084,1,8G,457,economy
1117,54,1,36C,857,business
2542,1446,2,22A,761,business
543,2701,2,2A,361,economy
4176,1433,3,2I,407,economy
1082,3190,3,32E,807,business
74,978,4,36H,409,business
3925,745,4,33B,409,business
6368,2997,5,25J,411,business
3936,4406,5,30D,411,business
825,355,6,24B,552,business
2844,4698,6,10A,152,economy
5065,6970,7,3C,185,economy
4818,1716,7,34J,585,business
7840,7272,8,25B,514,business
7859,2664,8,1F,114,economy
3341,7606,9,27A,411,business
1274,6379,9,3B,11,economy
6788,4253,10,7A,136,economy
1031,7021,10,27C,536,business
7515,1679,11,10G,48,economy
7531,3045,11,21F,448,business
6357,6685,12,25F,437,business
3127,6579,12,37C,437,business
5883,6782,13,23H,447,business
937,2,13,36D,447,business
1427,4261,14,6E,185,economy
6235,4353,14,11I,585,business
7877,1738,15,29C,465,business
2468,3918,15,25H,465,business
6252,1708,16,12E,459,business
1741,5376,16,22I,459,business
924,1531,17,8G,187,economy
6718,929,17,8H,187,economy
2392,3599,18,39J,468,business
1140,3284,18,41A,468,business
1916,2203,19,11D,495,business
1216,4017,19,9C,95,economy
240,1569,20,16H,460,business
7406,3700,20,32E,460,business
2156,4635,21,4I,49,economy
5635,2666,21,2E,49,economy
3429,4714,22,5F,92,economy
84,3201,22,1G,92,economy
2354,3422,23,3G,60,economy
6653,3326,23,10G,60,economy
3562,3811,24,10I,183,economy
482,2485,24,10E,183,economy
7965,378,25,2D,107,economy
1057,4701,25,29D,507,business
903,5041,26,22F,515,business
2916,5270,26,4H,115,economy
1689,682,27,6F,39,economy
7323,5556,27,2A,39,economy
7433,2826,28,24E,438,business
3391,7751,28,14H,438,business
4198,1743,29,36E,409,business
2884,3188,29,6C,9,economy
1929,6460,30,37G,582,business
6765,321,30,11H,582,business
6250,1248,31,4F,225,economy
2494,6847,31,14J,625,business
614,6781,32,3B,149,economy
2395,6189,32,3C,149,economy
641,2948,33,6C,172,economy
4548,4920,33,7G,172,economy
3847,942,34,1D,216,economy
3622,1971,34,5E,216,economy
2687,7971,35,4J,119,economy
6992,5393,35,20G,519,business
6382,7129,36,22A,1061,business
7781,5447,36,17E,1061,business
1324,4958,37,2F,166,economy
86,2830,37,39D,566,business
1890,1513,38,4B,539,economy
7583,2849,38,1F,539,economy
721,736,39,9J,84,economy
2459,7918,39,7B,84,economy
3331,4324,40,7C,33,economy
23,5521,40,3D,33,economy
1425,2262,41,11F,429,business
2982,2752,41,44E,429,business
7614,1399,42,40J,433,business
716,7040,42,20I,433,business
1749,4492,43,8C,88,economy
6797,7262,43,37I,488,business
8136,2660,44,28A,418,business
2287,7728,44,4H,18,economy
5939,1524,45,26D,621,business
7604,7060,45,6H,221,economy
3844,4806,46,3C,599,economy
7958,1202,46,17F,999,business
4209,818,47,28J,444,business
5813,1839,47,22E,444,business
2055,5672,48,6H,329,economy
6358,7033,48,13C,729,business
978,3163,49,10E,99,economy
4349,5897,49,6F,99,economy
4669,3868,50,3B,85,economy
2831,3313,50,24G,485,business
6414,1255,51,1G,37,economy
1645,6975,51,2G,37,economy
5640,4971,52,13C,565,business
4879,3154,52,7I,165,economy
7264,2200,53,27E,528,business
6709,7292,53,7A,128,economy
6673,7470,54,35E,495,business
2914,7425,54,19D,495,business
6719,2604,55,23G,665,business
7012,7594,55,23H,665,business
4427,6468,56,7G,334,economy
7741,3544,56,7D,334,economy
6942,1290,57,37C,472,business
3726,1158,57,42D,472,business
1201,4135,58,10A,62,economy
7059,6959,58,1G,62,economy
1829,2259,59,2H,70,economy
605,549,59,7C,70,economy
1560,2085,60,16D,490,business
3112,196,60,1F,90,economy
5199,1595,61,1D,502,economy
3073,2975,61,12C,902,business
6612,2720,62,3C,213,economy
5541,8173,62,2B,213,economy
4135,2868,63,25G,557,business
1065,5219,63,6F,157,economy
5615,2099,64,36C,534,business
3524,2557,64,6J,134,economy
7587,7113,65,4D,112,economy
4878,840,65,10J,112,economy
983,4623,66,8A,149,economy
6782,2077,66,7C,149,economy
4120,4419,67,5F,49,economy
513,3764,67,3C,49,economy
841,533,68,22B,886,business
4191,6014,68,39A,886,business
644,5680,69,40G,505,business
3194,7635,69,10A,105,economy
2159,2109,70,10D,740,economy
7860,5757,70,26H,1140,business
5778,1493,71,38J,442,business
60,5926,71,2B,42,economy
3359,5507,72,7F,39,economy
1540,4805,72,6E,39,economy
775,1316,73,6G,89,economy
1996,1507,73,22F,489,business
3745,6164,74,35A,569,business
5084,3819,74,29I,569,business
4662,4139,75,24A,608,business
2824,4905,75,5H,208,economy
7722,2771,76,3H,111,economy
2833,8075,76,44D,511,business
7796,1845,77,2I,924,economy
7816,6318,77,18B,1324,business
5107,7344,78,10C,23,economy
2449,6161,78,20E,423,business
2669,3469,79,2H,8,economy
410,2727,79,9J,8,economy
6004,805,80,27D,623,business
5493,1233,80,11A,623,business
4746,5120,81,3J,38,economy
5013,7459,81,31G,438,business
1197,2374,82,18I,429,business
4058,7798,82,36D,429,business
7582,5062,83,35I,419,business
2181,623,83,9B,19,economy
5972,6138,84,8A,101,economy
5726,3381,84,3A,101,economy
7676,5895,85,18E,438,business
4159,3064,85,13A,438,business
5851,5149,86,2F,831,economy
2129,5458,86,2C,831,economy
2224,7839,87,21F,689,business
5445,5023,87,5D,289,economy
2783,7285,88,9E,46,economy
5482,4404,88,36I,446,business
