flight_id,flight_number,flight_duration,departure_time,departure_date,airline_id,airport_src,airport_dst,aircraft_id
0,U21215,247 minutes,12:15:00,2018-11-26T00:00:00,2297,1665,1590,14
1,AC1245,73 minutes,12:45:00,2014-01-23T00:00:00,330,193,3520,166
2,U21130,69 minutes,11:30:00,2018-09-04T00:00:00,2297,1520,1524,14
3,U22200,77 minutes,22:00:00,2018-10-20T00:00:00,2297,502,1435,12
4,U20615,221 minutes,06:15:00,2018-12-08T00:00:00,2297,1706,502,14
5,FR0600,144 minutes,06:00:00,2019-01-12T00:00:00,4296,699,1525,74
6,FR0745,121 minutes,07:45:00,2014-05-30T00:00:00,4296,304,699,74
7,BE1415,50 minutes,14:15:00,2018-12-13T00:00:00,2421,421,455,6
8,SS0745,734 minutes,07:45:00,2018-12-24T00:00:00,1908,893,1386,81
9,PC2130,88 minutes,21:30:00,2018-06-07T00:00:00,3926,7453,4317,74
10,NH1245,100 minutes,12:45:00,2018-12-15T00:00:00,324,2279,2305,63
11,FR1000,125 minutes,10:00:00,2016-08-30T00:00:00,4296,353,458,74
12,IY2130,195 minutes,21:30:00,2018-12-10T00:00:00,5496,2177,3980,18
13,SC1800,116 minutes,18:00:00,2018-12-28T00:00:00,4599,3379,6391,74
14,MU1400,160 minutes,14:00:00,2015-07-17T00:00:00,1758,3406,4381,12
15,ZB1115,118 minutes,11:15:00,2018-03-20T00:00:00,220,469,1354,16
16,FR1230,106 minutes,12:30:00,2017-10-13T00:00:00,4296,1612,548,74
17,GF1430,155 minutes,14:30:00,2013-07-23T00:00:00,2638,2177,2057,14
18,IR1600,57 minutes,16:00:00,2018-12-23T00:00:00,2922,4331,2142,185
19,TU2245,184 minutes,22:45:00,2016-03-22T00:00:00,4870,337,293,12
20,U21445,251 minutes,14:45:00,2019-01-16T00:00:00,2297,490,1715,14
21,UX1745,111 minutes,17:45:00,2011-01-13T00:00:00,90,1246,1382,74
22,SY1815,232 minutes,18:15:00,2018-07-19T00:00:00,4356,3858,1852,74
23,B21515,138 minutes,15:15:00,2015-07-31T00:00:00,1478,2965,2954,71
24,SC1515,107 minutes,15:15:00,2019-01-29T00:00:00,4599,3371,4108,74
25,UG1645,39 minutes,16:45:00,2017-11-05T00:00:00,5085,291,290,5
26,TK0700,103 minutes,07:00:00,2018-12-10T00:00:00,4951,1701,2177,75
27,V71800,131 minutes,18:00:00,2018-11-03T00:00:00,20577,1512,1264,58
28,AH0600,127 minutes,06:00:00,2018-08-07T00:00:00,794,230,1335,74
29,LA1330,68 minutes,13:30:00,2011-08-31T00:00:00,3200,2665,2642,14
30,LX1700,488 minutes,17:00:00,2018-09-17T00:00:00,4559,1678,3093,20
31,OA2100,44 minutes,21:00:00,2018-12-22T00:00:00,3776,3941,1450,12
32,NH1630,251 minutes,16:30:00,2018-10-11T00:00:00,324,2279,3077,91
33,WF1345,121 minutes,13:45:00,2011-11-25T00:00:00,5439,636,663,151
34,Y40830,86 minutes,08:30:00,2012-03-08T00:00:00,5325,1804,1854,12
35,ME0745,364 minutes,07:45:00,2018-05-22T00:00:00,3490,273,2177,19
36,AT1700,308 minutes,17:00:00,2018-12-30T00:00:00,4248,1074,897,74
37,OS1845,82 minutes,18:45:00,2018-12-21T00:00:00,491,1742,1613,12
38,US1145,137 minutes,11:45:00,2017-04-04T00:00:00,5265,3729,3520,165
39,AT1900,70 minutes,19:00:00,2018-12-12T00:00:00,4248,1070,1074,74
40,QF1245,177 minutes,12:45:00,2018-06-02T00:00:00,4089,3351,3319,58
41,UX1115,587 minutes,11:15:00,2019-01-13T00:00:00,90,1909,1229,19
42,ME0800,108 minutes,08:00:00,2018-11-16T00:00:00,3490,2177,3964,14
43,NH1015,66 minutes,10:15:00,2019-01-07T00:00:00,324,2310,3942,121
44,EK1615,274 minutes,16:15:00,2013-01-12T00:00:00,2183,2188,3941,97
45,IB1015,135 minutes,10:15:00,2015-07-06T00:00:00,2822,1551,1229,12
46,2L1915,236 minutes,19:15:00,2019-01-10T00:00:00,2750,1054,1665,12
47,FR1045,185 minutes,10:45:00,2018-10-15T00:00:00,4296,1525,441,74
48,AT1000,186 minutes,10:00:00,2018-06-13T00:00:00,4248,507,1074,74
49,J31115,93 minutes,11:15:00,2018-08-13T00:00:00,3734,49,72,113
50,FS2200,49 minutes,22:00:00,2017-11-02T00:00:00,4513,293,1157,12
51,FS1800,141 minutes,18:00:00,2017-05-24T00:00:00,4513,1382,287,12
52,Q91245,47 minutes,12:45:00,2018-12-13T00:00:00,11838,192,202,53
53,LG1745,103 minutes,17:45:00,2017-11-06T00:00:00,3329,1555,629,151
54,KL1915,409 minutes,19:15:00,2016-07-05T00:00:00,3090,580,273,18
55,U21015,70 minutes,10:15:00,2018-04-15T00:00:00,2297,1561,1551,12
56,LH2030,476 minutes,20:30:00,2018-08-21T00:00:00,3320,100,340,20
57,H22100,52 minutes,21:00:00,2012-07-30T00:00:00,4737,2641,2762,14
58,SU1000,95 minutes,10:00:00,2015-05-02T00:00:00,130,421,2985,12
59,Y42030,70 minutes,20:30:00,2018-11-26T00:00:00,5325,1804,1831,12
60,VA2115,480 minutes,21:15:00,2015-07-06T00:00:00,5360,3316,3339,96
61,U21330,79 minutes,13:30:00,2019-01-02T00:00:00,2297,535,580,14
62,7F0600,54 minutes,06:00:00,2018-05-19T00:00:00,2354,140,41,3
63,OS0845,115 minutes,08:45:00,2018-12-01T00:00:00,491,1613,1512,187
64,PC1445,136 minutes,14:45:00,2018-12-22T00:00:00,3926,1555,4317,14
65,UN1515,116 minutes,15:15:00,2018-07-17T00:00:00,5067,4029,2960,71
66,SG1900,61 minutes,19:00:00,2018-03-19T00:00:00,4375,3007,2997,63
67,LX0730,81 minutes,07:30:00,2019-01-08T00:00:00,4559,1423,503,46
68,SK1430,67 minutes,14:30:00,2018-12-31T00:00:00,4319,644,608,6
69,IR2145,73 minutes,21:45:00,2019-01-04T00:00:00,2922,4331,5933,213
70,AC2115,238 minutes,21:15:00,2016-09-07T00:00:00,330,193,1761,12
71,WF2245,36 minutes,22:45:00,2018-04-21T00:00:00,5439,5585,5586,148
72,OS0730,85 minutes,07:30:00,2010-01-07T00:00:00,491,1613,344,12
73,KL1115,734 minutes,11:15:00,2018-11-27T00:00:00,3090,580,2276,93
74,HG2030,110 minutes,20:30:00,2017-05-09T00:00:00,3661,1470,1613,169
75,SQ0830,395 minutes,08:30:00,2010-05-21T00:00:00,4435,3992,3316,20
76,TK1630,243 minutes,16:30:00,2017-11-04T00:00:00,4951,1701,535,74
77,IR1345,115 minutes,13:45:00,2017-06-28T00:00:00,2922,2104,4331,213
78,U21400,124 minutes,14:00:00,2017-04-21T00:00:00,2297,535,1665,12
79,G80615,76 minutes,06:15:00,2018-04-24T00:00:00,2575,3104,3093,14
80,VA1545,130 minutes,15:45:00,2010-05-25T00:00:00,5360,3349,3940,185
81,MS1215,323 minutes,12:15:00,2018-05-01T00:00:00,2143,273,1128,74
82,LA1230,114 minutes,12:30:00,2017-12-23T00:00:00,3200,3988,2650,12
83,FR1715,159 minutes,17:15:00,2011-10-26T00:00:00,4296,1509,585,74
84,EI1200,97 minutes,12:00:00,2013-03-17T00:00:00,837,302,596,14
85,US1730,108 minutes,17:30:00,2018-11-12T00:00:00,5265,4014,3697,180
86,LH1630,85 minutes,16:30:00,2016-08-03T00:00:00,3320,346,1353,122
87,IG2045,88 minutes,20:45:00,2018-11-17T00:00:00,3463,1551,351,14
88,QF0715,924 minutes,07:15:00,2018-10-20T00:00:00,4089,2188,3320,33
89,A51100,107 minutes,11:00:00,2018-01-25T00:00:00,1203,1354,1403,121
90,AT1830,317 minutes,18:30:00,2019-01-04T00:00:00,4248,4161,1074,74
91,TU1200,154 minutes,12:00:00,2018-11-01T00:00:00,4870,287,1074,12
92,WF1400,56 minutes,14:00:00,2014-05-14T00:00:00,5439,4345,644,148
93,UA0830,598 minutes,08:30:00,2019-01-15T00:00:00,5209,340,3878,81
94,U21800,242 minutes,18:00:00,2014-10-21T00:00:00,2297,490,1452,14
95,UN2030,395 minutes,20:30:00,2017-11-22T00:00:00,5067,4029,2923,91
96,FR1730,184 minutes,17:30:00,2018-12-30T00:00:00,4296,1486,699,74
97,HG1130,156 minutes,11:30:00,2012-09-05T00:00:00,3661,1452,1611,16
98,OS2045,49 minutes,20:45:00,2018-06-06T00:00:00,491,1569,1613,120
99,MO0945,50 minutes,09:45:00,2019-01-15T00:00:00,502,141,58,182
100,NH1930,93 minutes,19:30:00,2018-12-30T00:00:00,324,2288,3942,14
101,PS1315,110 minutes,13:15:00,2018-05-12T00:00:00,5282,1613,2947,169
102,TF0700,44 minutes,07:00:00,2017-10-24T00:00:00,3386,738,746,6
103,WS1200,81 minutes,12:00:00,2017-07-07T00:00:00,5416,178,156,72
104,SV1000,133 minutes,10:00:00,2018-10-26T00:00:00,4533,2074,2157,8
105,VY0915,116 minutes,09:15:00,2012-09-12T00:00:00,2439,1216,580,14
106,IR1145,81 minutes,11:45:00,2018-10-21T00:00:00,2922,2164,4331,185
107,SG1315,142 minutes,13:15:00,2018-07-23T00:00:00,4375,3007,3093,63
108,HG1615,276 minutes,16:15:00,2018-06-23T00:00:00,3661,1612,1054,14
109,BA1845,106 minutes,18:45:00,2018-09-15T00:00:00,1355,478,687,182
110,WN1215,91 minutes,12:15:00,2018-04-21T00:00:00,4547,3682,3611,58
111,FR0630,115 minutes,06:30:00,2018-12-24T00:00:00,4296,1353,1070,74
112,HG1830,279 minutes,18:30:00,2018-01-20T00:00:00,3661,1055,1613,16
113,U21300,69 minutes,13:00:00,2018-05-02T00:00:00,2297,1665,1399,12
114,W31730,37 minutes,17:30:00,2011-04-30T00:00:00,20976,245,273,73
115,A31045,194 minutes,10:45:00,2017-06-30T00:00:00,96,4029,1460,14
116,WF1515,96 minutes,15:15:00,2015-03-06T00:00:00,5439,636,635,151
117,NH2000,95 minutes,20:00:00,2011-12-25T00:00:00,324,2359,2308,100
118,SN2215,97 minutes,22:15:00,2018-11-25T00:00:00,1531,1569,302,12
119,AV0815,85 minutes,08:15:00,2017-01-14T00:00:00,515,2715,2673,12
120,BA1145,137 minutes,11:45:00,2018-06-08T00:00:00,1355,1555,507,89
121,FR1900,157 minutes,19:00:00,2018-11-01T00:00:00,4296,478,3953,74
122,W31930,60 minutes,19:30:00,2017-12-12T00:00:00,20976,266,260,151
123,AT1100,173 minutes,11:00:00,2018-05-27T00:00:00,4248,340,5673,74
124,SN1430,542 minutes,14:30:00,2018-10-07T00:00:00,1531,302,2997,19
125,Y41830,70 minutes,18:30:00,2018-12-12T00:00:00,5325,1831,1804,12
126,AT1515,181 minutes,15:15:00,2018-11-01T00:00:00,4248,1080,580,74
127,FR0900,121 minutes,09:00:00,2014-06-15T00:00:00,4296,699,304,74
128,LH2045,744 minutes,20:45:00,2018-10-18T00:00:00,3320,340,2560,81
129,A32030,208 minutes,20:30:00,2019-01-04T00:00:00,96,1382,1452,14
130,FR1830,198 minutes,18:30:00,2016-04-13T00:00:00,4296,1486,657,74
131,MM0830,68 minutes,08:30:00,2015-01-19T00:00:00,17675,2313,3992,14
132,SV1745,175 minutes,17:45:00,2017-03-14T00:00:00,4533,2072,2131,8
133,MS1215,323 minutes,12:15:00,2017-12-10T00:00:00,2143,273,1128,74
134,AB1830,64 minutes,18:30:00,2018-10-13T00:00:00,214,345,548,151
135,UA1700,127 minutes,17:00:00,2018-06-11T00:00:00,5209,1852,3550,75
136,TK1845,295 minutes,18:45:00,2018-02-03T00:00:00,4951,1701,4119,14
137,ZH0745,60 minutes,07:45:00,2018-06-09T00:00:00,4611,3382,3381,74
138,VW2130,54 minutes,21:30:00,2018-05-13T00:00:00,1290,1856,1824,5
139,DY0900,595 minutes,09:00:00,2018-10-18T00:00:00,3737,3533,644,102
140,LY1730,294 minutes,17:30:00,2017-04-16T00:00:00,2150,1590,1229,75
141,IR0915,79 minutes,09:15:00,2018-04-01T00:00:00,2922,2131,2097,213
142,JJ1615,156 minutes,16:15:00,2018-12-29T00:00:00,4867,2564,2442,14
143,ME0830,364 minutes,08:30:00,2019-01-16T00:00:00,3490,2177,273,19
144,XQ1115,213 minutes,11:15:00,2018-10-26T00:00:00,4573,1706,421,74
145,QR2045,442 minutes,20:45:00,2018-06-21T00:00:00,4091,273,11051,19
146,FR1015,62 minutes,10:15:00,2018-06-16T00:00:00,4296,1534,1517,74
147,4U2145,155 minutes,21:45:00,2018-11-29T00:00:00,2548,1486,344,14
148,U21645,67 minutes,16:45:00,2018-12-30T00:00:00,2297,492,465,12
149,KL1600,129 minutes,16:00:00,2012-12-07T00:00:00,3090,3953,580,63
150,AD2115,49 minutes,21:15:00,2015-06-18T00:00:00,13983,2597,2610,169
151,JQ1115,70 minutes,11:15:00,2016-11-29T00:00:00,3052,4320,3321,14
152,2N2115,63 minutes,21:15:00,2019-01-14T00:00:00,3652,709,737,230
153,SY1415,197 minutes,14:15:00,2018-01-14T00:00:00,4356,3858,3577,73
154,LA1815,78 minutes,18:15:00,2017-07-12T00:00:00,3200,2443,2442,14
155,ST1315,87 minutes,13:15:00,2018-12-27T00:00:00,2547,1613,353,12
156,4O2200,75 minutes,22:00:00,2018-09-30T00:00:00,17885,1850,1836,14
157,U21345,208 minutes,13:45:00,2018-09-21T00:00:00,2297,502,3941,14
158,SG0830,87 minutes,08:30:00,2018-07-18T00:00:00,4375,3066,3131,63
159,SK0945,58 minutes,09:45:00,2019-01-01T00:00:00,4319,718,737,112
160,AY1345,531 minutes,13:45:00,2012-08-13T00:00:00,2350,3393,421,20
161,TG2145,57 minutes,21:45:00,2017-11-23T00:00:00,4940,737,458,229
162,AC0800,673 minutes,08:00:00,2019-01-06T00:00:00,330,2650,193,91
163,JL1730,729 minutes,17:30:00,2018-12-31T00:00:00,2987,2279,340,96
164,W62100,67 minutes,21:00:00,2017-11-10T00:00:00,5461,668,699,14
165,IR1400,144 minutes,14:00:00,2016-02-09T00:00:00,2922,2134,2162,185
166,SU0600,102 minutes,06:00:00,2018-09-26T00:00:00,130,4362,2985,71
167,LA1945,93 minutes,19:45:00,2015-02-14T00:00:00,3200,2662,2645,14
168,AD1530,46 minutes,15:30:00,2018-12-25T00:00:00,13983,2578,8238,6
169,FL0930,197 minutes,09:30:00,2012-05-26T00:00:00,1316,3849,1852,73
170,W61230,67 minutes,12:30:00,2018-12-17T00:00:00,5461,699,668,14
171,U20715,57 minutes,07:15:00,2019-01-10T00:00:00,2297,1335,1273,12
